index,City,AccentCity,Population,Latitude,Longitude,CountryLong,Latitude(average),Longitude(average)
0,timerliit,Timerliit,7.0,65.83333329999999,-53.25,greenland,72.0,-40.0
1,tasiusaq,Tasiusaq,7.0,73.3666667,-56.05,greenland,72.0,-40.0
2,neriunaq,Neriunaq,7.0,64.4666667,-50.3166667,greenland,72.0,-40.0
3,ivittuut,Ivittuut,11.0,61.2,-48.1666667,greenland,72.0,-40.0
4,qallimiut,Qallimiut,12.0,60.7,-45.3333333,greenland,72.0,-40.0
5,upernaviarsuk,Upernaviarsuk,13.0,60.75,-45.8833333,greenland,72.0,-40.0
6,itterajivit,Itterajivit,15.0,70.45,-22.3833333,greenland,72.0,-40.0
7,qeqertat,Qeqertat,18.0,77.50972220000001,-66.6477778,greenland,72.0,-40.0
8,moriusaq,Moriusaq,21.0,76.7561111,-69.88638890000001,greenland,72.0,-40.0
9,qassiarsuk,Qassiarsuk,40.0,61.15,-45.5166667,greenland,72.0,-40.0
10,saarloq,Saarloq,48.0,60.5333333,-46.0333333,greenland,72.0,-40.0
11,igaliku,Igaliku,49.0,60.9833333,-45.4166667,greenland,72.0,-40.0
12,qassimiut,Qassimiut,49.0,60.7833333,-47.1666667,greenland,72.0,-40.0
13,maarmorilik,Maarmorilik,50.0,71.1333333,-51.2833333,greenland,72.0,-40.0
14,niaqornat,Niaqornat,60.0,70.8,-53.65,greenland,72.0,-40.0
15,siorapaluk,Siorapaluk,75.0,77.7952778,-70.75583329999999,greenland,72.0,-40.0
16,savissivik,Savissivik,82.0,76.0233333,-65.0813889,greenland,72.0,-40.0
17,ammassivik,Ammassivik,83.0,60.6,-45.3833333,greenland,72.0,-40.0
18,ilimanaq,Ilimanaq,84.0,69.08333329999999,-51.1166667,greenland,72.0,-40.0
19,kapisillit,Kapisillit,89.0,64.4333333,-50.2666667,greenland,72.0,-40.0
20,ikamiut,Ikamiut,92.0,68.6333333,-51.8333333,greenland,72.0,-40.0
21,illorsuit,Illorsuit,97.0,71.2333333,-53.5666667,greenland,72.0,-40.0
22,nuugaatsiaq,Nuugaatsiaq,99.0,71.55,-53.216666700000005,greenland,72.0,-40.0
23,napasoq,Napasoq,99.0,65.05,-52.4,greenland,72.0,-40.0
24,iginniarfik,Iginniarfik,103.0,68.15,-53.1666667,greenland,72.0,-40.0
25,akunnaaq,Akunnaaq,107.0,68.75,-52.3333333,greenland,72.0,-40.0
26,narsaq kujalleq,Narsaq Kujalleq,110.0,60.0030556,-44.6636111,greenland,72.0,-40.0
27,sarfannguit,Sarfannguit,110.0,66.9,-52.8666667,greenland,72.0,-40.0
28,isortoq,Isortoq,113.0,65.5333333,-38.9833333,greenland,72.0,-40.0
29,ikerasaarsuk,Ikerasaarsuk,116.0,68.1333333,-53.5333333,greenland,72.0,-40.0
30,itilleq,Itilleq,121.0,66.58333329999999,-53.5,greenland,72.0,-40.0
31,arsuk,Arsuk,145.0,61.1666667,-48.45,greenland,72.0,-40.0
32,qeqertaq,Qeqertaq,154.0,70.0,-51.3166667,greenland,72.0,-40.0
33,narsarsuaq,Narsarsuaq,154.0,61.1666667,-45.4166667,greenland,72.0,-40.0
34,saqqaq,Saqqaq,169.0,70.0166667,-51.95,greenland,72.0,-40.0
35,tiniteqilaaq,Tiniteqilaaq,169.0,65.8833333,-37.7833333,greenland,72.0,-40.0
36,ukkusissat,Ukkusissat,195.0,71.05,-51.8833333,greenland,72.0,-40.0
37,qaarsut,Qaarsut,204.0,70.7333333,-52.65,greenland,72.0,-40.0
38,upernavik kujalleq,Upernavik Kujalleq,205.0,72.15,-55.5333333,greenland,72.0,-40.0
39,aappilattoq,Aappilattoq,208.0,72.8833333,-55.6,greenland,72.0,-40.0
40,saattut,Saattut,211.0,70.8166667,-51.6333333,greenland,72.0,-40.0
41,sermiligaaq,Sermiligaaq,223.0,65.9,-36.3666667,greenland,72.0,-40.0
42,kangersuatsiaq,Kangersuatsiaq,244.0,72.3833333,-55.5333333,greenland,72.0,-40.0
43,atammik,Atammik,250.0,64.8,-52.216666700000005,greenland,72.0,-40.0
44,qeqertarsuatsiaat,Qeqertarsuatsiaat,261.0,63.0833333,-50.6666667,greenland,72.0,-40.0
45,attu,Attu,281.0,67.95,-53.6333333,greenland,72.0,-40.0
46,ikerasak,Ikerasak,286.0,70.5,-51.3,greenland,72.0,-40.0
47,kulusuk,Kulusuk,312.0,65.5666667,-37.1833333,greenland,72.0,-40.0
48,niaqornaarsuk,Niaqornaarsuk,336.0,68.2333333,-52.8666667,greenland,72.0,-40.0
49,alluitsup paa,Alluitsup Paa,364.0,60.45,-45.55,greenland,72.0,-40.0
50,kangaamiut,Kangaamiut,396.0,65.83333329999999,-53.3333333,greenland,72.0,-40.0
51,kullorsuaq,Kullorsuaq,408.0,74.58333329999999,-57.2,greenland,72.0,-40.0
52,illoqqortoormiut,Illoqqortoormiut,531.0,70.4833333,-21.9666667,greenland,72.0,-40.0
53,qaanaaq,Qaanaaq,616.0,77.4894444,-69.3322222,greenland,72.0,-40.0
54,kangaatsiaq,Kangaatsiaq,680.0,68.3,-53.466666700000005,greenland,72.0,-40.0
55,upernavik,Upernavik,1129.0,72.7833333,-56.1666667,greenland,72.0,-40.0
56,qasigiannguit,Qasigiannguit,1341.0,68.8166667,-51.1833333,greenland,72.0,-40.0
57,nanortalik,Nanortalik,1509.0,60.1166667,-45.216666700000005,greenland,72.0,-40.0
58,narsaq,Narsaq,1709.0,77.3025,-68.8425,greenland,72.0,-40.0
59,tasiilaq,Tasiilaq,1829.0,65.6,-37.6333333,greenland,72.0,-40.0
60,paamiut,Paamiut,1862.0,62.0,-49.75,greenland,72.0,-40.0
61,maniitsoq,Maniitsoq,2866.0,65.41666670000001,-52.9,greenland,72.0,-40.0
62,aasiaat,Aasiaat,3115.0,68.7166667,-52.8666667,greenland,72.0,-40.0
63,qaqortoq,Qaqortoq,3224.0,60.716666700000005,-46.0333333,greenland,72.0,-40.0
64,ilulissat,Ilulissat,4413.0,69.2166667,-51.1,greenland,72.0,-40.0
65,sisimiut,Sisimiut,5227.0,66.9333333,-53.6833333,greenland,72.0,-40.0
66,nuuk,Nuuk,14799.0,64.1833333,-51.75,greenland,72.0,-40.0
67,aliskerovo,Aliskerovo,7.0,67.766667,167.583333,russian federation,60.0,100.0
68,aliskerovo,Aliskerovo,7.0,67.766667,167.583333,russia,60.0,100.0
69,vstrechnyy,Vstrechnyy,12.0,67.95,165.6,russian federation,60.0,100.0
70,vstrechnyy,Vstrechnyy,12.0,67.95,165.6,russia,60.0,100.0
71,brindakit,Brindakit,15.0,59.983333,137.55,russian federation,60.0,100.0
72,brindakit,Brindakit,15.0,59.983333,137.55,russia,60.0,100.0
73,leninskaya sloboda,Leninskaya Sloboda,29.0,56.07945600000001,44.469434,russian federation,60.0,100.0
74,leninskaya sloboda,Leninskaya Sloboda,29.0,56.07945600000001,44.469434,russia,60.0,100.0
75,belichan,Belichan,30.0,62.9,148.1,russian federation,60.0,100.0
76,belichan,Belichan,30.0,62.9,148.1,russia,60.0,100.0
77,baranikha,Baranikha,31.0,68.516667,168.25,russian federation,60.0,100.0
78,baranikha,Baranikha,31.0,68.516667,168.25,russia,60.0,100.0
79,kolendo,Kolendo,36.0,53.764444,142.787778,russian federation,60.0,100.0
80,kolendo,Kolendo,36.0,53.764444,142.787778,russia,60.0,100.0
81,kholst,Kholst,45.0,42.82777,44.145644,russian federation,60.0,100.0
82,kholst,Kholst,45.0,42.82777,44.145644,russia,60.0,100.0
83,kozhym,Kozhym,53.0,65.734,59.524353000000005,russian federation,60.0,100.0
84,kozhym,Kozhym,53.0,65.734,59.524353000000005,russia,60.0,100.0
85,verkhniy at-uryakh,Verkhniy At-Uryakh,57.0,62.65,150.116667,russian federation,60.0,100.0
86,verkhniy at-uryakh,Verkhniy At-Uryakh,57.0,62.65,150.116667,russia,60.0,100.0
87,severnyy,Severnyy,74.0,66.333333,138.033333,russian federation,60.0,100.0
88,severnyy,Severnyy,74.0,66.333333,138.033333,russia,60.0,100.0
89,torgo,Torgo,94.0,58.454444,119.529444,russian federation,60.0,100.0
90,torgo,Torgo,94.0,58.454444,119.529444,russia,60.0,100.0
91,kankunskiy,Kankunskiy,95.0,57.625278,126.109444,russian federation,60.0,100.0
92,kankunskiy,Kankunskiy,95.0,57.625278,126.109444,russia,60.0,100.0
93,prirechnyy,Prirechnyy,103.0,69.01655600000001,30.274304,russian federation,60.0,100.0
94,prirechnyy,Prirechnyy,103.0,69.01655600000001,30.274304,russia,60.0,100.0
95,bezymyannyy,Bezymyannyy,107.0,58.757778,126.248889,russian federation,60.0,100.0
96,bezymyannyy,Bezymyannyy,107.0,58.757778,126.248889,russia,60.0,100.0
97,oktyabrskiy,Oktyabrskiy,116.0,57.034983,60.735393,russian federation,60.0,100.0
98,oktyabrskiy,Oktyabrskiy,116.0,57.034983,60.735393,russia,60.0,100.0
99,nelkan,Nelkan,135.0,64.25,142.966667,russian federation,60.0,100.0
100,nelkan,Nelkan,135.0,64.25,142.966667,russia,60.0,100.0
101,nagornyy,Nagornyy,147.0,55.966667,124.95,russian federation,60.0,100.0
102,nagornyy,Nagornyy,147.0,55.966667,124.95,russia,60.0,100.0
103,kunerma,Kunerma,157.0,55.75,108.483333,russian federation,60.0,100.0
104,kunerma,Kunerma,157.0,55.75,108.483333,russia,60.0,100.0
105,mulda,Mulda,174.0,67.5,63.85,russian federation,60.0,100.0
106,mulda,Mulda,174.0,67.5,63.85,russia,60.0,100.0
107,galimyy,Galimyy,174.0,62.333333,155.98333300000002,russian federation,60.0,100.0
